X,text,artist,song,year,album,Release.Date,US.Pop,US.R.B,CA,UK,IR,NL,DE,AT,FR,JP,AU,NZ,peak
647,"Why you s ing?
You know I'm not a man of war
Break the gold chain that I gave you
Throw it down on the floor
Instead of this 7 page letter
I wish I had piece of mind
My friends tell me, ""You should go get her""
But loving you, loving you, loving you is a waste of time
Oh yes, it is, a waste of time, ooh
I need to get out of this city
I need to get you out of my head
I need to get away from the words that you said to me
Why you s ing?
(Ooh)
You know I'm not a man of war
How could you think that
I could put something inside of someone
That I put inside you, inside you?
Even if I tried to, tried to
(Tried to, tried to)
I couldn't 'cause I still smell like the last time that we
Loving you, loving you, loving you is a waste of time
(A waste of time)
Oh, yes it is
Loving you, a waste of time
(Ooh oh)
I need to feel wanted again
I need to feel love is alive, yeah
I need to hear you say
That you ain't looking for another reason to make me cry
Why you s ing?
(Ooh)
You know I'm not a man of war
I've been trying to make you happy, baby
Ever since we were sophomores
(But loving you, loving you, loving you)
Is a waste of time, oh yes, it is
Oh, is a waste of time, waste of time, waste of time
If there's no future then there is no past
And all we've got is right now
Let's make it last
Make it last, make it last
(Ooh)
Why you s ing?
You know I'm not a man of war
Break the gold chain
(Break the gold chain that I gave you)
Throw it down on the floor, oh baby
Instead of this 7 page letter
I wish I had piece of mind
(My friends tell me, ""You should go get her""Â)
Tell me, ""You should go get her""
(But loving you)
Loving you, loving you, loving you
Is a waste of time
(A waste of time)
Oh, a waste of time, oh yeah
I need to get out of this city
I need to get you out of my head
I need to
I need to get away from the words that you said to me
I need to
I need to feel wanted again
Oh, I need to hear no sin
Hear me
(But loving you, loving you, loving you)
Why you s ing?
You know I'm not a man of war
Break the gold chain that I gave you
Throw it down on the floor, oh baby
Instead of this 7 page letter
I wish I had piece of mind
My friends tell me, ""You should go get her""
But loving you, loving you, loving you is a waste of time",prince,man o war,1999,Rave Un2 the Joy Fantastic,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
549,"Prince
Miscellaneous
Manic Monday
6 o'clock already, I was just in the middle of a dream 
I was kissing Valentino by a crystal blue Italian stream 
But I can't be late cuz then I guess I just won't get paid 
These are the days when U wish your bed was already made 
CHORUS: 
It's just another manic Monday 
I wish it was Sunday 
Cuz that's my fun day 
My ""I don't have 2 run"" day 
It's just another manic Monday 
Have 2 catch an early train, got 2 be 2 work by 9 
If I had an airplane, I still couldn't make it on time 
Cuz it takes me so long just 2 figure out what I'm gonna wear 
Blame it on the train, but the boss is already there 
CHORUS 
All of the nights, why did my lover have 2 pick last night 2 get down? 
(Last night we got down) 
Doesn't it matter that I have 2 feed the both of us? Employment's down 
But when he tells me in his bedroom voice 
""Come on, honey, let's go make some noise,"" what he says 
Time, it goes so fast (when U're having fun) 
It's just another manic Monday 
I wish it was Sunday 
Cuz that's my fun day 
It's just another manic Monday",prince,manic monday,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
425,"Prince
Exodus
Mashed Potato Girl Intro
Another day, another dollar 
Your  a's home 
Don't make me holler 
Is anybody home? 
Hmm, I guess not 
Let's see what's on the hellavision",prince,mashed potato girl intro,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
550,"Prince
Miscellaneous
Me Touch Myself
As I awake this lonely mornin' 
I do thank God that U were born 
And I picture us on furry floors 
And I like it so me touch myself 
I prayed that I could have U all 2 myself 
So U came 4 me and no one else 
Now my heart beats wild 4 U I melt 
I want U so me touch myself 
Hallelujah 
CHORUS: 
Me touch myself, me touch myself 
Until U and I can truly melt 
Every morning me touch myself 
This power that U have is unexplainable 
If I could live without U honey - debatable 
I'm not used 2 this feeling of unstable 
Come and get me before me touch myself 
CHORUS 
Like ice I will become until U come 4 me 
No one ever will warm me, I'll be cold as can be 
I need the pictures only U and I can see 
I need U so me touch myself 
I bleed 4 U and me touch myself 
U planted the seed, now me touch myself 
It's a shame indeed, now me touch myself 
Me touch myself 
CHORUS 
(CHORUS) 
I.. I.. I will finally free 
Come and get me and U'll see 
I'll be like others never be 
Ooh wee, baby, U make me touch myself 
Oh baby, me touch myself 
Me touch myself {repeat 2 fade}",prince,me touch myself,NA,Other Songs,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
691,"Wanna get lost in the mellow, mellow of my mind
Chop a tree, pay the cost
I rather have a glass of you that's fine
Come on over baby 'round 7, chill in your favorite chair
You can watch a tape of this mellow after party
Macy and Common were there
Besides, you know it takes awhile for me to do my hair
Come on get lost in the mellow, mellow
Come on get lost in the mellow, mellow
How's that feel?
Where you wanna eat tonight baby?
I know this dope spot called one another
Or maybe we might swing by the egg
The perfect place to play house, I could s  you
I just might be runnin' lines, there's just so much you can find
In the mellow of my mind
Come on get lost in the mellow, mellow
Come on get lost in the mellow, mellow
This rainbow psychedelia
Come on get lost in the mellow, mellow
There ain't nothin' to be afraid of
Just you and me in the mellow of my mind
I wanna get lost in the composition of you
Let the rhythm play only the notes you want me to
I'm a good learner and once I understand
I'll stand under you and let you show me
How you want your man to be
I could dance for you a little comical minuet
If you desire I'll shed my attire, anything to get you wet
Shower, my flower?
So much to do, so little time
So choose wisely and you can find thee
In the mellow of my mind
Come on get lost in the mellow, mellow
Come on get lost in the mellow, mellow
Can I sing to you while you bring yourself to joy?
I'll go slow at first, while you quench your thirst
Wet circles round the toy
While you bring yourself to joy",prince,mellow,2001,The Rainbow Children,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
100,"Prince
Graffiti Bridge
Melody Cool
I've seen a many bridges in my time 
And crossed every one of 'em with no trouble at all (yeah {x7}) 
I had trials and tribulations 
Heartaches and pains (Well, that's alright!) (A lot of adversity) 
Survived 'em all baby (Uh huh, say it, say it, girl) 
Hmph, I'm still Melody, and I'm still cool 
(Melody Cool) (Yeah, yeah, ha ha ha...) 
Ow! 
(Melody) (Oh!) {repeated in background} 
They call me Melody Cool 
I was here long before U 
If U're good I will love ya but I'm nobody's fool 
I'm Melody Cool 
When I was born there were tidal waves 
Whole town went under, nobody saved 
At every funeral it rained 
Every time I sang - Melody Cool 
La da da da da da da da da{x2} 
I have been here much longer, longer than U (Longer than U) 
I'm Melody Cool (Cool) 
Well now, everybody runnin' 'round talkin' 'bout saving souls 
When they know good and plenty well 
They got enough trouble trying 2 save their own (Well, that's alright!) 
(Uh huh, say it, say it, girl) 
Don't want it, don't want it 
Every woman and every man 
One day they just got 2 understand 
That if we play in the same key everything would be Melody Cool 
(What's your name?) 
New Power wave your hand 
Everybody sing all across the land 
Say hey hey hey (Hey hey hey) {x2} 
Everybody say hey hey hey (Hey hey hey) 
They call me Melody Cool 
Ow! (Hark, Melody!) 
Looka here, young'un 
Let me give U a piece of good advice 
And I do get paid for counseling, huh 
It ain't no big I's and little U's in my life 
So that's why U see they call me Melody Cool (Melody Cool) 
I was here long before U (Long before U) 
If U're good I will love U but I'm nobody's fool (What?) 
I'm Melody Cool 
Ow! 
(Melody Cool) {repeated} {fade out} 
(Long before U)",prince,melody cool,1990,Graffiti Bridge,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
551,"Prince
Miscellaneous
Mia Bocca
I have only had one lover 
Since I was 12 years old 
So I don't care how hot U get me 
I wouldn't do him cold 
But there's somethin' about U, baby 
That's got me koo koo 
Would U hold it against me 
If I said I loved another? 
Tu vuole la mia bocca {U want my lips} 
CHORUS: 
Tu vuole la mia bocca 
I love another 
Tu vuole la mia bocca 
Don't want no other 
Something's happenin', I just can't explain it 
U're doin' somethin' 2 me 
My body's shakin', baby, shake, shake, shakin', baby 
Shakin' like a leaf on a tree 
I could never be unfaithful 
Baby, I could never be 
Boy, I got a feelin' that I ain't used 2 feelin' 
I gotta do somethin' 
Tu vuole la mia bocca 
CHORUS 
(I love a drama) {repeat in BG) 
I'll pretend I'm in a movie 
A make believe dream world caprice de la drama {... whimsical drama} 
U can be a page in my diary 
If U promise not 2 tell my mama 
There's somethin' about U, baby 
That's got me koo koo 
I can't explain what's dancin' in my brain 
We gotta do somethin' 
Tu vuole la mia bocca 
CHORUS 
Sono caliente d' amore {I'm hot with love} 
Il mio labio sono resbaloso {My lips are boiling hot} 
Puoi toccare piano {U can touch softly} 
Lo siento ma io voglio un altro {I'm sorry, but I love another one} 
I love another! (CHORUS {x3}) 
I don't want no other! {x2} 
Tu vuole la mia bocca 
I love another 
I'm going koo koo 
Sono caliente d' amore 
Il mio labio sono resbaloso 
Puoi toccare piano 
Lo siento ma io voglio un altro 
Mia bocca",prince,mia bocca,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
859,"Welcome
2 The Million $ Show
This is something that U never seen B4
Welcome
2 The Million $ Show
This the kinda music make U lose control
If u're ready come on let's go
U heard the news on the internet
About the tickets U got 2 get
Ur favorite band is comin' 2 ur town
What was lost is now found
Tell serena 1st come 1st serve
What we mean is who got the nerve
Standing outside people singing in line
Nothing out the ? when U outta ur mind
Chorus
Don't listen 2 the music
Sayin' fear the fro
U got ur $ so U go, go, go
Miss it 4 the world- only the insane
They're coming thru the snow
The sleet or the rain
Miss it 4 the world- only insane
Chorus
Only the haters ever complain
Can't hear jack in the back of my plane turn
The music up so the diss in vain
Turn the music up!",prince,million  show,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
552,"Prince
Miscellaneous
Mindbells
Mindbells 
Uh oh, there they go lurkin' in my mind 
Try 2 stop'em, I am lost in time 
So lost, the best that I did is go huntin' 'em down 
Everybody thinks I'm crazy, but I know that U're the reason 4 the sound 
CHORUS: 
Mindbells every time U touch me 
Mindbells every time U're near 
When U sing with your body, baby 
When U sing with your body, baby 
Mindbells is all I hear, oh 
Mindbells 
Listen.. 
Every time U tell me I'm the one 4 U 
And I just can't believe it's me U're talking 2 
And my life and destiny, they scare me so 
What am I gonna do, I can't let U go 
CHORUS 
Like the choir sings (la la la la la la) 
These mindbells, they ring (ding dong) 
I want U now 
(Take me) 
Oh, mi..mindbells 
Mi..mi..mi..mindbells 
Can it be these bells I hear ring 4 more than me? 
Am I just another star, one of your fantasies? 
No baby, baby, don't let it be 
Can't U see this love is killing me? 
Mindbells every time U touch me (Killing me, yeah) 
Mindbells every time U're near (Come near) 
When U sing with your body, baby 
When U sing with your body, baby 
Mindbells is all I hear, oh 
CHORUS",prince,mindbells,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
76,"Prince
1-800-New-Funk
Minneapolis
Performed by Minneapolis
Composed by Sonny T.
M P L(L) S 
I used 2 play the gig at Archie's Bunker 
Then I up and joined the Jeffersons 
I was in a band with Lenny Kravitz's mama (Your  ) 
Friday night was good every now and then 
Now I'm old and doin' so much better (So much better) 
Sellin' the wax out the back o' my Subaru 
Now I cut this groove with a group called Minneapolis (Minneapolis) 
In this here groove, they know just what 2 do, do 
CHORUS: 
MPLS funkin' house from east 2 west 
MPLS funkin' (Shut up) 
MPLS - Clinton listen, A on test 
MPLS funkin' (Shut up) 
(Funkin') 
Other people's parties they be fightin' 
They're pullin' the guns and actin' like a fool
The way I see it, the more good they be writin' 
Makin' U wish that U stayed in a funky school (School) 
First class - Guitar 101, James Brown - second hour 
Horn part, U ain't got none unless U got Tower of Power 
Bootsy will teach U all U need 2 know about the booty bass (Y'all are crazy) 
And if U can't play 7, 7 on the drums, U better not show your face (U ain't funky) 
CHORUS 
Funkin' 
Nobody buy my joint, it's cool cuz I got one (Hell yeah) 
All the others cut 4 radio and cheat the fan 
Good time - take us 2 the stage and watch us move your big butt 
Cuz everybody, everybody's gettin' funky in this band 
Who's in the band guys? 
Sgt. Rock (Sonny T, yeah, that's..that's me) (M) (P) 
Sittin' in from St. Paul (We're the S-t-e-e-l-e-s) (L) (S) 
Cutie Pie on vocals (Jam) (M) 
And by way of Queens (Master T) (P) (L) (S) 
Hey, U ain't supposed 2 be on this record 
MPLS funkin' house from east 2 west 
MPLS funkin' (Shut up) 
MPLS - Clinton listen, A on test 
MPLS funkin' 
We just keep funkin' 
We just keep funkin' 
Get funky 
Party people steady pumpin' 
Party people steady pumpin'",prince,minneapolis,NA,Other Songs,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
553,"Prince
Miscellaneous
Miss Understood
Now that I'm a woman 
I'm always dreaming of romance 
I'm always dreaming about the perfect man 
Who'd take me in his arms and understand, understand me 
My name is Miss Understood 
I'm just a girl who wants true love like anyone would 
I'm Miss Understood 
Isn't there a man who understands me? 
He picked me up at midnight (Oh) 
When all the town was fast asleep 
We danced 4 the man in the moon above 
Understanding's cheap when U fall in love, fall in love 
Just call me Miss Understood 
I'm just a girl who wants true love like anyone would 
I'm Miss Understood 
Isn't there a man who understands me? 
I want a lover that can satisfy the hunger of my lonely heart 
Gotta have a lover with a PhD in undercover art 
Now that I'm a woman 
I'm always looking 4 romance (Romance) 
I'm always looking 4 the perfect man 
Who'd take me in his arms and understand, understand me 
Just call me Miss Understood 
I'm just a girl who wants true love like anyone would 
I'm Miss Understood 
Isn't there a man who understands... 
Miss Understood 
I'm just a girl who wants true love like anyone would 
I'm Miss Understood 
Isn't there a man who understands... 
Miss (Miss, Miss) Understood 
I'm just a girl who wants true love like anyone would 
I'm Miss Understood",prince,miss understood,NA,Other Songs,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
554,"Prince
Miscellaneous
Miss You
I miss the ocean 
I miss the time we made love under the stars 
I miss the summer breeze 
I miss those big old fancy cars 
I miss the blue skies 
I miss the pouring rain 2 
Most of all baby, I miss U 
Oh, I miss U 
Oh, I miss U 
Oh, I miss U",prince,miss you,NA,Other Songs,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
554,"Prince
Miscellaneous
Miss You
I miss the ocean 
I miss the time we made love under the stars 
I miss the summer breeze 
I miss those big old fancy cars 
I miss the blue skies 
I miss the pouring rain 2 
Most of all baby, I miss U 
Oh, I miss U 
Oh, I miss U 
Oh, I miss U",prince,miss you,NA,Other Songs,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
244,"Prince
Miscellaneous
Mo' Better
Last night baby, I had a dream 
That I fell asleep with all my clothes on and U tried 2 make love 2 me 
I felt U tuggin' (tuggin') on my blouse and instead of slowin' U down 
I put your hand inside and started movin' it all around 
If I were able I'd make U wait awhile 
But the card's on the table so I might as well show U my style 
Are U ready baby? (Ooh) 
CHORUS: 
I'm the kind that takes her time 
It's mo' better when it's wetter 
What's the rush 4 the gush? 
So much nicer when it's smooth 
Do it slow, cuz U know 
It's mo' better when it's wetter 
This is mine, take your time 
And I'll give it all 2 U 
(It's mo' better when it's wetter) 
I don't wanna wake up, this dream is 2 good 2 be true 
Feels like I got my arms, (and) hips and thighs all around U 
If real love could be like this baby, I'd give it 2 U night and day 
But it seems like a man's always in a hurry when nanny ain't gonna run away (No way) 
If I were able I'd make U wait, make U wait awhile (Just a little bit) 
But the card's on the table so I might as well show U my style 
Show U my style (Ooh) 
CHORUS 
Baby, yeah 
Can U blame me 4 the time I take 
When it's memorable love I wanna make? 
U can't tame me if I wanna go wild 
If U can't take a minute 2 learn my style 
I'm sayin' U gotta learn my style, baby 
I like 2 take my time 
U with that? 
Alright, check it out 
U can pin me on the boards 
I'm the kind that takes her time 
It's mo' better when it's wetter 
What's the rush 4 the gush? 
So much nicer when it's smooth 
Do it slow cuz U know (Do it slow, don't U know?) 
It's mo' better when it's wetter (It's mo' better when it's wetter) 
This is mine, take your time (Take your time) 
And I'll give it all 2 U, U, U 
(It's mo' better when it's wetter) 
Don't blaim me baby, the time I take 
(It's mo' better when it's wetter) 
I wanna remember the love that we make 
(It's mo' better when it's wetter) 
Better when it's wetter 
Solamente entrega tu cuerpo a quien tu amas 
{Only give your body 2 whom U love} 
Until we meet again",prince,mo better,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
245,"Prince
Miscellaneous
Moonbeam Levels
Yesterday I tried 2 write a novel but I didn't know where 2 begin 
So I laid down in the grass tryin' 2 feel the world turn 
Boy loses girl in a rain storm, nuclear World War III 
All that's left is pain and sorrow, as far as he's concerned 
CHORUS: 
He says please send all your moonbeam levels 2 me 
Please send all your moonbeam levels 2 me 
Please send all your moonbeam levels 2 me 
I'm lookin' 4 a better place 2 die 
Maybe he's lookin' 4 a different world 
Maybe he's lookin' 4 a brand new high 
Maybe he would like a nice condo overlookin' the rings of Saturn 
Maybe he wants affection instead of a plastic life 
Maybe he doesn't know what he wants at all 
CHORUS 
A newborn child knows nothing of destruction 
Nothing of love and hate 
What happens in between is a mystery 
Because we don't give a   about his fate 
He said he'll never keep diaries 2 learn from his mistakes 
Instead he'll just repeat all the good things that he's done 
Fight 4 perfect love until it's perfect love he makes 
When he's happy then his battle will be won (It's never 2 late) 
Please send all your moonbeam levels 2 me 
(Send your.. send 2 me) 
Please send all your moonbeam levels 2 me 
(Send your levels 2 me) 
Please send all your moonbeam levels 2 me 
(Sending me your.. send 2 me) 
I'm lookin' 4 a better place 2 die (Better place 2 die) 
Please send all your moonbeam levels 2 me (Oh yeah!) 
Please send all your moonbeam levels 2 me {x2} 
He don't, he don't, he don't really wanna die 
He don't wanna, he don't wanna, he don't wanna die {x2} 
He don't really wanna die",prince,moonbeam levels,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
473,"Prince
Love Symbol
Morning Papers
He realized that she was new 2 love 
Naive in every way 
Every schoolboy's fantasy she was 
That's why he had 2 wait 
If he poured his heart into a glass and offered it like wine 
She could drink and be back in time 4 the morning papers 
They could take a walk down the ocean side 
Make a wish on every wave 
They could find a carousel and ride 
Or kiss in every cave 
They could contemplate the entire universe or just one star 
Oh, just how far was the walk 4 the morning papers? 
Yeah 
Let me play it 4 U one time, oh oh 
Well 
Hey 
Shucks 
Why is age more than a number when it comes 2 love? 
Should we ask the ones who speculate 
When they don't know what it's made of? 
Should we ask the moonlight on your face or the raindrops in your hair? 
Or should we ask the man who wrote it there in the morning papers? 
Hey 
Should we ask the moonlight on your face or the raindrops in your hair? 
Should we ask the man who wrote it there in the morning papers? 
Oh yes! 
Somebody help me sing it now 
La, la, la, la, la, la 
La, la, la, la, la, la 
La, la, la, la, la, la, la 
Oh yeah – hey, hey, hey 
Yes 
La, la, la, la, la, la 
La, la, la, la, la, la 
La, la, la, la, la, la, la 
G'on! Play! 
La, la, la, la, la, la 
La, la, la, la, la, la 
La, la, la, la, la, la, la 
OK",prince,morning papers,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
713,"Prince
Miscellaneous
Most Beautiful Girl In The World
Could U be 
The Most Beautiful Girl in the World 
It's plain 2 see 
U're the reason that God made a girl 
When the day turns into the last day of all time 
I can say, I hope U are in these arms of mine 
And when the night falls before that day I will cry 
I will cry tears of joy cause after U all one can do is die 
Could U be 
The Most Beautiful Girl in the World 
Could U be 
It's plain 2 see 
U're the reason that God made a girl 
Oh yes U are 
How can I get through days when I can't get through hours 
I can try but when I do I see U and I'm devoured 
Oh Yes 
Who'd allow, who'd allow a face 2 be soft as a flower 
I could bow and feel proud in the light of this power 
Oh Yes 
Could U be (Could U be) 
The Most Beautiful Girl in the World 
Could U be 
It's plain 2 see 
U're the reason that God made a girl 
Oh yes U are 
And if the stars ever fell one by one from the sky 
I know Mars could not be 2 far behind 
Cuz baby, this kind of beauty has got no reason 2 ever be shy 
Cuz honey, this kind of beauty the kind that comes from inside 
Could U be 
The Most Beautiful Girl in the World 
So beautiful, beautiful 
It's plain 2 see (Plain 2 see) 
U're the reason that God made a girl 
Could U be 
The Most Beautiful Girl in the World 
(U U're my girl) 
It's plain 2 see 
U're the reason that God made a girl 
(U're the reason) 
If the stars (Could U be) ever fell one by one from the sky 
(The Most Beautiful Girl in the World) 
Oh Yeah 
I know Mars (It's plain 2 see) could not be 2 far behind 
(U're the reason that God made a girl) 
Could U be 
The Most Beautiful Girl in the World 
Could U be 
The Most Beautiful Girl in the World 
Could U...",prince,most beautiful girl in the world,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
265,"Once upon a time in a land called fantasy
Seventeen mountains stood so high
Sea surrounded them an' together they would be
Only thing that ever made you cry
You said the devil told you that another mount will appear
Everytime somebody broken your heart
He said the sea would one day overflow with all your tears
An' love will always leave you lonely
I say it's only mountains an' the sea
Love will conquer if you just believe
It's only mountains an' the sea
There's nothing greater, you an' me
Once upon a time in a haystack of despair
Happiness sometimes hard to find, yeah
Africa divided, hijack in the air
It's enough to make you want to lose your mind
I say it's only mountains an' the sea
Love will conquer if you just believe
It's only mountains an' the sea
There's nothing greater, you an' me
Guitars an' drums on the run
Mummy, I'm comin'
It's only mountains an' the sea
There's nothing greater, you an' me
Starvation
Mountains",prince,mountains,1986,Parade,"07,May,86",23,15,-,45,15,16M,32,-,-,-,45,37,15
175,"Prince
Crystal Ball
Movie Star
{""Jam Of The Year"" plays in BG} 
Let's see, body oil - check 
Incense - check 
Environmental records - double check! 
I'ma get some serious drawers 2night, think I ain't? 
Let's see, if I tell Gilbert and 'Rome 2 meet me 11 then I creep at 10 
That'll give me an hour of free reign 
Mo' drawers (Mo' drawers) 
9:30 - gettin' dressed 
I had a couple sips of wine 
Boo! - I swear 2 God 
My suit was hangin' fine 
Everybody at the club freaked 
When I stepped from the limousine 
They said - ""Ooh, it's good 2 see ya"" 
I said - ""Oh, it's good 2 be seen 
U know what I mean?"" 
Tell U what's good 
It's a good thing we live close cuz I almost suffocated in that car 
Next time I won't wear so much Paco Rabinni or whatever that stuff... 
I wonder if they got potato chips up in this... 
Man, this ain't like them house parties we used 2 go 2 
That's alright, I'm clean 
2night, hey, I'm a movie star 
I see myself on a silver screen, huh 
2night, it don't matter who U are 
I'm the only star on the scene 
U know what I mean? 
Man, I hate makin' movies 
But I like that money, think I don't? Hmph 
Check me out 
I just walk in, don't even find a seat 
Just threw my coat right on the floor 
Grab somebody 4 a quick dance 
Boy or girl - it don't matter no more, I'm hot! 
Ha, ha, ha –   
Mix was right 
Bold, Lord 
Ouch! Ha, ha 
Baby, do U wanna, do U wanna get off? 
2night, I'm a movie star 
I see myself up on the silver screen 
2night, it don't matter 
I'm the star on the scene 
Ouch! 
Mix was right 
On the 1 the kick drum hit the triple beat 
Baby, I was poppin' 
Did one spin, did a second, did the splits 
Came up, looked around, the joint was hoppin' 
Hoppin'! The joint was hoppin'! 
Somebody say ""Movie Star!"" 
So check it out, U wanna dance? 
Are U wearing that Paco Rabbit or whatever U call it? 
Oh wow, that's dog 
What? Speak up, I can't hear over that suit 
Maybe U can hear this? 
Am I supposed 2 be impressed? 
That's right, Rolls Royce 
Check it out, baby 
U wanna dance now? 
Maybe next song 
Yeah right, dance floor is not big enough, fat cow 
Ooh, the mix, it's about the mix 
Ooh baby, I like that, but the kid gonna show U a few tricks 
Can I play with U? 
Baby, let's creep, I had enough of this action 
Bartender, on the house 
Give everybody in here somethin' 
Man, I don't care 
I got money 2 spare, U're cute and your music's thumpin' 
Yo baby, get the check 
""Yo baby"" my behind, I need my money 
Say Brother Carothers, can I get some credit? 
No? Much money I done spent in this nasty joint? 
U need 2 be slapped! 
Darlin', shall we leave now? 
Go 2 Hades, boy! 
So U like my crib? 
It's not mine, it's rented 
Say, how much did U have 2 drink? 
What's the biggest lake U've ever been in? 
So, do U like environmental records? 
Crickets chirpin', water rushin' 
Supposed 2 make U horny 
It just make me wanna go 2 the bathroom 
Actually this one's not bad, check it out 
So like, what's your name? 
Oh wow, that's dog!",prince,movie star,1998,Crystal Ball,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
813,"Let's see, body oil, check, incense, check
Environmental records, double check
I'ma get some serious drawers tonight, think I ain't?
Let's see, if I tell Gilbert and 'Rome
To meet me 11 then I creep at 10
That'll give me an hour of free reign
Mo' drawers
(Mo' drawers)
9:30, gettin' dressed, I had a couple sips of wine
Boo, I swear to God, my suit was hangin' fine
Everybody at the club freaked
When I stepped from the limousine
They said, â€½Ooh, it's good to see ya""
I said, â€½Oh, it's good to be seen
You know what I mean?""
Tell you what's good, it's a good thing
We live close 'cuz I almost suffocated in that car
Next time I won't wear so much
Paco Rabanne or whatever that stuff
I wonder if they got potato chips up in this
Man, this ain't like them
House parties we used to go to
That's alright, I'm clean
Tonight, hey, I'm a movie star
I see myself on a silver screen, huh
Tonight, it don't matter who you are
I'm the only star on the scene
You know what I mean?
Man, I hate makin' movies
But I like that money, think I don't? Hmph
Check me out, I just walk in
Don't even find a seat, just threw
My coat right on the floor
Grab somebody for a quick dance
Boy or girl, it don't matter no more, I'm hot
Ha, ha, ha,  , mix was right
Bold, Lord, ouch, ha, ha
Baby, do you wanna, do you wanna get off?
Tonight, I'm a movie star
I see myself up on the silver screen
Tonight, it don't matter
I'm the star on the scene, ouch
Mix was right
On the 1 the kick drum hit the triple beat
Baby, I was poppin', did one spin, did a second
Did the splits, came up, looked around
The joint was hoppin', hoppin'
The joint was hoppin', somebody say movie star
So check it out, you wanna dance?
Are you wearing that Paco Rabanne
Or whatever you call it, oh wow, that's dog
What? Speak up, I can't hear over that suit
Maybe you can hear this?
Am I supposed to be impressed?
That's right, Rolls Royce, check it out, baby
You wanna dance now? Maybe next song
Yeah right, dance floor is not big enough, fat cow
Ooh, the mix, it's about the mix
Ooh baby, I like that, but the kid
Gonna show you a few tricks
Can I play with you?
Baby, let's creep, I had enough
Of this action, bartender, on the house
Give everybody in here somethin'
Man, I don't care, I got money to spare
you're cute and your music's thumpin'
Yo baby, get the check, yo baby
My behind, I need my money
Say Brother Carothers, can I get some credit?
No? Much money I done spent in this nasty joint?
You need tobe slapped, darlin', shall we leave now?
Go to Hades, boy, so you like my crib?
It's not mine, it's rented
Say, how much did you have to drink?
What's the biggest lake you've ever been in?
So, do you like environmental records?
Crickets chirpin', water rushin'
Supposed to make you horny
It just make me wanna go to the bathroom
Actually this one's not bad, check it out
So like, what's your name? Oh wow, that's dog",prince,moviestar,NA,Other Songs,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
